#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
8ca.alpha.45         -          PAV05238.1           -            2.3e-96  309.5   4.8   2.5e-96  309.3   4.8   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          WP_321423126.1       -            2.7e-96  309.2   2.6     3e-96  309.1   2.6   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          WP_286478278.1       -            3.6e-99  318.6   2.3     4e-99  318.4   2.3   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          WP_088540216.1       -            1.9e-97  313.0   5.6   2.1e-97  312.8   5.6   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          MCC7562678.1         -            2.1e-92  296.5   2.2   2.4e-92  296.4   2.2   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          WP_297899156.1       -            3.1e-89  286.2   3.2   3.4e-89  286.1   3.2   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          KZX10472.1           -            1.2e-92  297.3   0.5   1.3e-92  297.2   0.5   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          WP_303295131.1       -              6e-99  317.9   2.0   6.6e-99  317.7   2.0   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          MDR0912733.1         -            2.8e-91  292.9   0.3   3.2e-91  292.7   0.3   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          MCC9261460.1         -            1.1e-98  317.0   2.1   1.2e-98  316.8   2.1   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          MDR2967966.1         -            4.5e-88  282.4   3.7     5e-88  282.3   3.7   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          WP_337505422.1       -           1.4e-100  323.2   1.4  1.5e-100  323.0   1.4   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          MDO5847926.1         -            2.2e-93  299.8   0.9   2.4e-93  299.6   0.9   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          MCQ2737689.1         -            8.5e-91  291.3   1.1   9.4e-91  291.2   1.1   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          MDO5849814.1         -            2.5e-90  289.8   1.2   2.7e-90  289.7   1.2   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          HOK73305.1           -            3.2e-86  276.4   0.6   3.6e-86  276.3   0.6   1.0   1   0   0   1   1   1   1 -
8ca.alpha.45         -          MBQ9160808.1         -            5.3e-96  308.3   2.2   5.9e-96  308.1   2.2   1.0   1   0   0   1   1   1   1 -
8ca.beta.45          -          MES2259295.1         -           7.7e-118  381.7   0.0  8.5e-118  381.6   0.0   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          MES2259295.1         -            5.2e-08   20.7   0.4   2.8e-06   15.0   0.0   2.8   3   0   0   3   3   3   1 -
8ca.beta.45          -          WP_200672902.1       -           2.7e-119  386.5   0.1  2.9e-119  386.4   0.1   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          WP_200672902.1       -            1.1e-13   39.5   1.8   1.9e-08   22.2   0.0   3.0   3   0   0   3   3   3   3 -
8ca.beta.45          -          WP_229490596.1       -           8.1e-116  375.1   0.0  8.9e-116  374.9   0.0   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          WP_229490596.1       -            2.9e-08   21.6   1.0   2.2e-07   18.7   0.0   2.3   3   0   0   3   3   3   1 -
8ca.beta.45          -          WP_303549230.1       -           5.5e-121  392.0   0.3    6e-121  391.9   0.3   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          WP_303549230.1       -            1.5e-11   32.4   0.5     1e-07   19.8   0.0   3.0   3   0   0   3   3   3   3 -
8ca.beta.45          -          HKJ81916.1           -           9.3e-102  329.0   0.2  1.1e-101  328.8   0.2   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          HKJ81916.1           -            1.5e-11   32.5   4.3   6.9e-09   23.6   0.1   2.3   2   0   0   2   2   2   2 -
8ca.beta.45          -          OGB23614.1           -           8.9e-120  388.0   0.0  9.7e-120  387.9   0.0   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          OGB23614.1           -            1.4e-07   19.3   0.8   2.4e-06   15.3   0.0   2.3   3   0   0   3   3   3   2 -
8ca.beta.45          -          MCZ7565770.1         -           4.8e-116  375.8   0.0  5.6e-116  375.6   0.0   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          MCZ7565770.1         -            3.4e-09   24.6   0.5   1.9e-07   18.9   0.0   2.8   3   0   0   3   3   3   1 -
8ca.beta.45          -          AZZ09226.1           -           9.8e-114  368.2   0.0  1.2e-113  368.0   0.0   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          AZZ09226.1           -            2.9e-14   41.4   2.5   3.4e-08   21.3   0.0   3.0   3   0   0   3   3   3   3 -
8ca.beta.45          -          WP_137672115.1       -           1.2e-119  387.6   0.2  1.3e-119  387.5   0.2   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          WP_137672115.1       -            5.7e-11   30.5   0.5   3.5e-07   18.0   0.0   3.0   3   0   0   3   3   3   3 -
8ca.beta.45          -          MBL8252385.1         -           6.1e-118  382.0   0.0  6.7e-118  381.9   0.0   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          MBL8252385.1         -            5.2e-09   24.0   0.4   2.6e-08   21.7   0.0   2.0   2   0   0   2   2   2   1 -
8ca.beta.45          -          MDH4099127.1         -           1.5e-113  367.6   0.1  1.7e-113  367.5   0.1   1.0   1   0   0   1   1   1   1 -
8ca.eta.45           -          MDH4099127.1         -            1.5e-07   19.2   1.3   6.8e-07   17.0   0.0   2.1   2   1   0   2   2   2   1 -
8ca.beta.45          -          MDD2344092.1         -           8.1e-120  388.2   0.1  8.8e-120  388.1   0.1   1.0   1   0   0   1   1   1   1 -
